,precision,recall,f1-score,support
Apple___Apple_scab,0.9919354838709677,0.9761904761904762,0.984,504.0
Apple___Black_rot,0.9920159680638723,1.0,0.9959919839679359,497.0
Apple___Cedar_apple_rust,1.0,0.9818181818181818,0.9908256880733946,440.0
Apple___healthy,0.978515625,0.99800796812749,0.9881656804733728,502.0
Blueberry___healthy,0.9978021978021978,1.0,0.9988998899889989,454.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9928741092636579,0.9964243146603099,421.0
Cherry_(including_sour)___healthy,1.0,0.9978070175438597,0.9989023051591658,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9733333333333334,0.8902439024390244,0.9299363057324841,410.0
Corn_(maize)___Common_rust_,1.0,0.9937106918238994,0.9968454258675079,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9124513618677043,0.9832285115303984,0.9465186680121089,477.0
Corn_(maize)___healthy,1.0,1.0,1.0,465.0
Grape___Black_rot,0.9936842105263158,1.0,0.996832101372756,472.0
Grape___Esca_(Black_Measles),1.0,0.9958333333333333,0.9979123173277662,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,430.0
Grape___healthy,1.0,1.0,1.0,423.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,503.0
Peach___Bacterial_spot,0.9891774891774892,0.9956427015250545,0.992399565689468,459.0
Peach___healthy,0.9953917050691244,1.0,0.9976905311778291,432.0
"Pepper,_bell___Bacterial_spot",0.9937369519832986,0.99581589958159,0.9947753396029259,478.0
"Pepper,_bell___healthy",0.9899799599198397,0.993963782696177,0.9919678714859438,497.0
Potato___Early_blight,0.9918200408997955,1.0,0.9958932238193019,485.0
Potato___Late_blight,0.9877049180327869,0.9938144329896907,0.9907502569373073,485.0
Potato___healthy,0.9955947136563876,0.9912280701754386,0.9934065934065934,456.0
Raspberry___healthy,1.0,1.0,1.0,445.0
Soybean___healthy,0.9921259842519685,0.998019801980198,0.9950641658440277,505.0
Squash___Powdery_mildew,0.9977011494252873,1.0,0.998849252013809,434.0
Strawberry___Leaf_scorch,0.9977528089887641,1.0,0.9988751406074241,444.0
Strawberry___healthy,1.0,1.0,1.0,456.0
Tomato___Bacterial_spot,0.9809523809523809,0.9694117647058823,0.9751479289940829,425.0
Tomato___Early_blight,0.9724770642201835,0.8833333333333333,0.925764192139738,480.0
Tomato___Late_blight,0.9567099567099567,0.9546436285097192,0.9556756756756757,463.0
Tomato___Leaf_Mold,0.9804347826086957,0.9595744680851064,0.9698924731182795,470.0
Tomato___Septoria_leaf_spot,0.9564164648910412,0.9059633027522935,0.9305064782096584,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9593301435406698,0.9218390804597701,0.94021101992966,435.0
Tomato___Target_Spot,0.8222222222222222,0.9715536105032823,0.8906720160481444,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9938144329896907,0.9836734693877551,0.9887179487179487,490.0
Tomato___Tomato_mosaic_virus,1.0,0.9821428571428571,0.990990990990991,448.0
Tomato___healthy,0.9578313253012049,0.9916839916839917,0.9744637385086823,481.0
accuracy,0.9820737536990667,0.9820737536990667,0.9820737536990667,0.9820737536990667
macro avg,0.982918754613294,0.9816320628311173,0.9819202390408762,17572.0
weighted avg,0.9829199192967311,0.9820737536990667,0.9821468967713552,17572.0
